Fragment,Note,Value,MIDI_Number
1,G5,2.15,79
1,F#5,1.85,78
1,E5,2.75,76
1,D5,4.8,74
1,C#5,3.25,73
1,B4,4.55,71
1,A4,5.15,69
1,G4,5.5,67
1,F#4,5.95,66
1,E4,3.5,64
1,D4,3.2,62
1,C#4,2.15,61
1,B3,2.15,59
1,A3,1.75,57
1,G3,1.45,55
2,C6,1.55,84
2,Bb5,1.7,82
2,Ab5,2.0,80
2,Gb5,2.35,78
2,F5,3.4,77
2,Eb5,4.1,75
2,Db5,5.7,73
2,C5,5.75,72
2,Bb4,5.8,70
2,Ab4,5.3,68
2,Gb4,2.85,66
2,F4,5.25,65
2,Eb4,3.15,63
2,Db4,2.5,61
2,C4,2.8,60
3,B5,1.85,83
3,A5,1.65,81
3,G5,3.55,79
3,F#5,2.45,78
3,E5,5.0,76
3,D5,5.4,74
3,C5,5.0,72
3,B4,5.85,71
3,A4,5.85,69
3,G4,5.2,67
3,F#4,2.75,66
3,E4,3.15,64
3,D4,3.15,62
3,C4,1.55,60
3,B3,2.2,59
4,F5,2.65,77
4,E5,1.8,76
4,D5,4.15,74
4,C5,3.6,72
4,Bb4,4.95,70
4,A4,6.05,69
4,G4,6.15,67
4,F4,5.2,65
4,E4,6.0,64
4,D4,5.35,62
4,C4,3.8,60
4,Bb3,3.25,58
4,A3,3.35,57
4,G3,2.25,55
4,F3,2.3,53
5,F5,4.45,77
5,Eb5,4.4,75
5,D5,5.4,74
5,C5,5.45,72
5,Bb4,5.55,70
5,A4,4.15,69
5,G4,5.8,67
5,F4,5.35,65
5,Eb4,3.6,63
5,D4,4.95,62
5,C4,2.85,60
5,Bb3,3.15,58
5,A3,1.85,57
5,G3,2.15,55
5,F3,2.7,53
6,A5,1.75,81
6,G5,2.05,79
6,F5,2.4,77
6,E5,2.65,76
6,D5,3.35,74
6,C5,5.0,72
6,B4,3.8,71
6,A4,5.35,69
6,G4,6.4,67
6,F4,4.55,65
6,E4,4.45,64
6,D4,4.2,62
6,C4,4.65,60
6,B3,3.15,59
6,A3,2.65,57
7,E5,3.7,76
7,D5,4.1,74
7,C5,5.15,72
7,B4,4.8,71
7,A4,4.6,69
7,G4,4.95,67
7,F#4,4.8,66
7,E4,4.35,64
7,D4,4.25,62
7,C4,3.05,60
7,B3,2.9,59
7,A3,2.2,57
7,G3,2.05,55
7,F#3,1.6,54
7,E3,2.0,52
8,C6,2.35,84
8,Bb5,1.8,82
8,A5,2.4,81
8,G5,2.85,79
8,F5,3.85,77
8,E5,3.8,76
8,D5,5.25,74
8,C5,5.2,72
8,Bb4,4.45,70
8,A4,5.1,69
8,G4,4.6,67
8,F4,4.1,65
8,E4,4.15,64
8,D4,4.95,62
8,C4,4.4,60
